Timestamp,gun,healthcare,women_issues,genders,taxes,justice,equal,capitalism,two_party,teacher,minimmum wage,immigration,electoral_college,death,church,education_military,justice_reform,drugs,coronavirus,party
2020/10/07 10:56:16 AM EST,4,5,5,5,2,5,1,2,2,5,5,4,1,2,1,1,5,5,1,Democrat
2020/10/07 10:58:55 AM EST,4,5,5,4,5,4,2,3,3,4,4,4,3,4,4,2,4,4,3,Democrat
2020/10/07 10:59:11 AM EST,4,5,5,5,5,5,1,3,3,5,5,4,1,3,2,1,5,3,1,Democrat
2020/10/07 10:59:47 AM EST,5,5,3,4,3,5,2,4,3,4,3,3,3,3,2,2,4,4,2,Democrat
2020/10/07 11:04:00 AM EST,1,5,1,5,5,5,1,1,1,5,5,5,1,3,1,1,5,5,1,Democrat
2020/10/07 11:06:20 AM EST,4,5,5,5,5,5,5,1,2,5,3,4,4,2,3,1,5,5,1,Democrat
2020/10/07 11:11:03 AM EST,4,4,4,5,5,5,2,3,2,4,5,4,2,2,2,1,5,5,2,Democrat
2020/10/07 11:11:20 AM EST,3,1,2,2,5,1,5,4,4,4,4,3,5,5,5,3,4,1,3,Republican
2020/10/07 11:12:38 AM EST,5,5,5,5,4,5,1,3,3,5,4,4,1,1,2,1,5,1,1,Democrat
2020/10/07 11:14:04 AM EST,5,4,5,3,3,5,1,2,1,3,3,5,1,5,2,1,5,5,2,Democrat
2020/10/07 11:16:52 AM EST,5,5,5,4,5,5,1,2,1,5,5,4,1,3,1,1,5,5,1,Democrat
2020/10/07 11:20:44 AM EST,4,3,3,3,5,3,3,3,3,3,3,3,3,5,2,1,3,3,3,Republican
2020/10/07 11:24:47 AM EST,4,5,3,5,5,5,1,2,1,5,5,4,2,1,2,1,5,4,1,Democrat
2020/10/07 11:25:04 AM EST,4,4,2,5,5,2,2,5,2,4,3,4,2,3,1,1,5,4,1,Democrat
2020/10/07 11:26:30 AM EST,5,5,5,5,3,5,1,2,1,5,5,5,1,1,1,1,5,5,2,Democrat
2020/10/07 11:28:15 AM EST,5,5,3,5,4,5,3,3,3,5,4,3,3,1,3,3,4,4,2,Democrat
2020/10/07 11:28:19 AM EST,3,5,4,4,5,5,2,2,1,4,3,3,2,2,3,1,5,5,1,Democrat
2020/10/07 11:29:40 AM EST,5,5,5,5,3,5,1,1,1,5,5,5,1,2,1,1,5,5,1,Democrat
2020/10/07 11:32:12 AM EST,4,5,4,5,2,5,2,4,2,5,5,2,2,2,2,1,4,2,1,Democrat
2020/10/07 11:34:19 AM EST,5,5,2,5,5,5,1,3,3,5,5,4,1,3,1,2,5,5,1,Democrat
2020/10/07 11:35:37 AM EST,4,5,5,5,2,5,1,3,2,5,5,5,2,3,3,3,5,4,1,Democrat
2020/10/07 11:37:20 AM EST,1,2,1,1,1,2,5,5,1,4,3,4,5,2,5,4,4,5,5,Republican
2020/10/07 11:40:30 AM EST,5,5,5,5,3,5,1,1,1,5,5,5,2,1,2,1,5,5,1,Democrat
2020/10/07 11:41:00 AM EST,4,5,5,4,3,4,2,2,3,5,5,4,3,3,3,1,4,4,2,Democrat
2020/10/07 11:46:33 AM EST,3,4,4,4,1,4,1,5,5,5,3,2,4,1,1,1,5,4,2,Republican
2020/10/07 11:47:48 AM EST,5,5,5,5,4,5,2,3,3,4,3,5,3,1,2,1,5,5,1,Democrat
2020/10/07 11:47:57 AM EST,4,4,5,5,3,4,2,3,3,4,4,4,3,3,2,2,4,3,1,Democrat
2020/10/07 11:53:02 AM EST,5,5,5,2,3,5,2,3,4,3,3,4,1,1,2,1,4,5,2,Democrat
2020/10/07 12:00:42 PM EST,5,5,5,5,2,4,1,1,1,5,5,5,2,2,2,1,5,5,1,Democrat
2020/10/07 12:01:13 PM EST,4,5,5,4,4,4,1,2,2,5,5,4,2,2,2,1,5,2,1,Democrat
2020/10/07 12:09:22 PM EST,4,4,5,3,4,5,2,2,2,3,4,3,1,2,1,2,4,5,1,Democrat
2020/10/07 12:09:41 PM EST,5,5,3,2,2,5,1,3,3,4,4,3,3,5,3,1,4,5,2,Democrat
2020/10/07 12:12:13 PM EST,5,5,1,2,4,4,1,5,1,4,4,2,1,3,1,1,4,5,1,Democrat
